date,A005930,A000660,A035720,A035420,A114800
2013-10-18,29440.0,34600.0,17580.0,128000.0,7295.0
2013-10-21,29280.0,34100.0,17840.0,133000.0,7295.0
2013-10-22,29100.0,32600.0,17960.0,131000.0,7290.0
2013-10-23,28840.0,32500.0,17700.0,123600.0,7380.0
2013-10-24,28980.0,33100.0,17940.0,123600.0,7360.0
2013-10-25,28980.0,32600.0,17780.0,121400.0,7415.0
2013-10-28,29640.0,33100.0,17960.0,127600.0,7345.0
2013-10-29,29800.0,31950.0,18000.0,126000.0,7325.0
2013-10-30,30000.0,32850.0,17820.0,126000.0,7295.0
2013-10-31,29300.0,31950.0,17700.0,119400.0,7405.0
2013-11-01,30000.0,33250.0,17580.0,121000.0,7385.0
2013-11-04,29980.0,33050.0,17500.0,117200.0,7445.0
2013-11-05,29700.0,32550.0,17220.0,119400.0,7495.0
2013-11-06,29020.0,32500.0,17500.0,116000.0,7490.0
2013-11-07,28740.0,32350.0,17460.0,116600.0,7545.0
2013-11-08,28200.0,32250.0,17480.0,112000.0,7605.0
2013-11-11,28560.0,31500.0,17420.0,116000.0,7610.0
2013-11-12,29120.0,31950.0,17040.0,122800.0,7555.0
2013-11-13,28380.0,31550.0,16700.0,120000.0,7700.0
2013-11-14,28480.0,32300.0,16379.999999999998,124000.0,7670.0
